id_2,parto,pesaje,del,lvd,raza
3424,9/12/2007,1/1/2008,23,13.2,MESTIZA
3424,9/12/2007,16/1/2008,38,13,MESTIZA
3424,9/12/2007,29/1/2008,51,12.6,MESTIZA
3424,9/12/2007,17/2/2008,70,14.2,MESTIZA
3424,9/12/2007,2/3/2008,84,11.4,MESTIZA
3424,9/12/2007,17/3/2008,99,13.7,MESTIZA
3424,9/12/2007,1/4/2008,114,14.9,MESTIZA
3424,9/12/2007,17/4/2008,130,13.2,MESTIZA
3424,9/12/2007,2/5/2008,145,11.1,MESTIZA
3424,9/12/2007,18/5/2008,161,14.1,MESTIZA
3424,9/12/2007,2/6/2008,176,12.6,MESTIZA
3424,9/12/2007,16/6/2008,190,12.2,MESTIZA
3424,9/12/2007,2/7/2008,206,11.3,MESTIZA
3424,9/12/2007,20/7/2008,224,12.3,MESTIZA
3424,9/12/2007,3/8/2008,238,10.3,MESTIZA
3424,9/12/2007,16/8/2008,251,11.1,MESTIZA
3424,9/12/2007,31/8/2008,266,8,MESTIZA
3424,9/12/2007,17/9/2008,283,7.6,MESTIZA
3424,9/12/2007,1/10/2008,297,7.3,MESTIZA
3424,9/12/2007,19/10/2008,315,6.8,MESTIZA
3424,9/12/2007,2/11/2008,329,4.6,MESTIZA
3424,9/12/2007,16/11/2008,343,4,MESTIZA
3424,9/12/2007,1/12/2008,358,3,MESTIZA
3446,1/12/2007,14/12/2007,13,8.7,CARORA
3446,1/12/2007,27/12/2007,26,11.4,CARORA
3446,1/12/2007,15/1/2008,45,10.1,CARORA
3446,1/12/2007,29/1/2008,59,11,CARORA
3446,1/12/2007,13/2/2008,74,14.3,CARORA
3446,1/12/2007,28/2/2008,89,14.7,CARORA
3446,1/12/2007,15/3/2008,105,13.6,CARORA
3446,1/12/2007,30/3/2008,120,13.7,CARORA
3446,1/12/2007,15/4/2008,136,14.1,CARORA
3446,1/12/2007,30/4/2008,151,12.7,CARORA
3446,1/12/2007,14/5/2008,165,13.5,CARORA
3446,1/12/2007,30/5/2008,181,13.9,CARORA
3446,1/12/2007,17/6/2008,199,13.2,CARORA
3446,1/12/2007,1/7/2008,213,11.8,CARORA
3446,1/12/2007,14/7/2008,226,14.1,CARORA
3446,1/12/2007,29/7/2008,241,10.5,CARORA
3446,1/12/2007,15/8/2008,258,9,CARORA
3446,1/12/2007,29/8/2008,272,8.7,CARORA
3446,1/12/2007,16/9/2008,290,8.8,CARORA
3446,1/12/2007,30/9/2008,304,0.6,CARORA
3470,3/2/2008,1/3/2008,27,14.5,MESTIZA
3470,3/2/2008,16/3/2008,42,14,MESTIZA
3470,3/2/2008,29/3/2008,55,12,MESTIZA
3470,3/2/2008,17/4/2008,74,14.2,MESTIZA
3470,3/2/2008,1/5/2008,88,12.8,MESTIZA
3470,3/2/2008,16/5/2008,103,14.9,MESTIZA
3470,3/2/2008,31/5/2008,118,14.9,MESTIZA
3470,3/2/2008,16/6/2008,134,13.7,MESTIZA
3470,3/2/2008,1/7/2008,149,12.8,MESTIZA
3470,3/2/2008,17/7/2008,165,13.2,MESTIZA
3470,3/2/2008,1/8/2008,180,13,MESTIZA
3470,3/2/2008,15/8/2008,194,17.2,MESTIZA
3470,3/2/2008,31/8/2008,210,12,MESTIZA
3470,3/2/2008,18/9/2008,228,11.9,MESTIZA
3470,3/2/2008,2/10/2008,242,12.1,MESTIZA
3470,3/2/2008,15/10/2008,255,13.9,MESTIZA
3470,3/2/2008,30/10/2008,270,11.4,MESTIZA
3470,3/2/2008,16/11/2008,287,11.3,MESTIZA
3470,3/2/2008,30/11/2008,301,10.6,MESTIZA
3470,3/2/2008,18/12/2008,319,7.9,MESTIZA
3470,3/2/2008,1/1/2009,333,8,MESTIZA
3538,21/12/2007,30/12/2007,9,12.5,CARORA
3538,21/12/2007,30/1/2008,40,13.4,CARORA
3538,21/12/2007,14/2/2008,55,12.5,CARORA
3538,21/12/2007,27/2/2008,68,13.8,CARORA
3538,21/12/2007,17/3/2008,87,15.3,CARORA
3538,21/12/2007,31/3/2008,101,14.5,CARORA
3538,21/12/2007,15/4/2008,116,13.7,CARORA
3538,21/12/2007,30/4/2008,131,14.5,CARORA
3538,21/12/2007,16/5/2008,147,14.4,CARORA
3538,21/12/2007,31/5/2008,162,12.5,CARORA
3538,21/12/2007,16/6/2008,178,13.8,CARORA
3538,21/12/2007,1/7/2008,193,11.6,CARORA
3538,21/12/2007,15/7/2008,207,12,CARORA
3538,21/12/2007,31/7/2008,223,13.1,CARORA
3538,21/12/2007,18/8/2008,241,12.2,CARORA
3538,21/12/2007,1/9/2008,255,11.6,CARORA
3538,21/12/2007,14/9/2008,268,12.5,CARORA
3538,21/12/2007,29/9/2008,283,12.6,CARORA
3538,21/12/2007,16/10/2008,300,8.5,CARORA
3538,21/12/2007,30/10/2008,314,9.6,CARORA
3538,21/12/2007,17/11/2008,332,7.9,CARORA
3538,21/12/2007,1/12/2008,346,9,CARORA
3546,3/2/2008,19/2/2008,16,3.7,MESTIZA
3546,3/2/2008,21/3/2008,47,9.2,MESTIZA
3546,3/2/2008,5/4/2008,62,10.6,MESTIZA
3546,3/2/2008,18/4/2008,75,11.4,MESTIZA
3546,3/2/2008,7/5/2008,94,12,MESTIZA
3546,3/2/2008,21/5/2008,108,12.2,MESTIZA
3546,3/2/2008,5/6/2008,123,12.1,MESTIZA
3546,3/2/2008,20/6/2008,138,12,MESTIZA
3546,3/2/2008,6/7/2008,154,10.8,MESTIZA
3546,3/2/2008,21/7/2008,169,10.9,MESTIZA
3546,3/2/2008,6/8/2008,185,13.1,MESTIZA
3546,3/2/2008,21/8/2008,200,12.7,MESTIZA
3546,3/2/2008,4/9/2008,214,12.8,MESTIZA
3546,3/2/2008,20/9/2008,230,13,MESTIZA
3546,3/2/2008,8/10/2008,248,11.8,MESTIZA
3546,3/2/2008,22/10/2008,262,12.4,MESTIZA
3546,3/2/2008,4/11/2008,275,13.7,MESTIZA
3546,3/2/2008,19/11/2008,290,16.1,MESTIZA
3546,3/2/2008,6/12/2008,307,8.4,MESTIZA
3546,3/2/2008,20/12/2008,321,11.2,MESTIZA
3546,3/2/2008,7/1/2009,339,12.5,MESTIZA
3546,3/2/2008,21/1/2009,353,5.3,MESTIZA
3546,3/2/2008,4/2/2009,367,5.4,CARORA
3546,3/2/2008,19/2/2009,382,3.7,CARORA
3549,6/2/2008,11/2/2008,5,4.8,CARORA
3549,6/2/2008,13/3/2008,36,12.4,CARORA
3549,6/2/2008,28/3/2008,51,13.9,CARORA
3549,6/2/2008,10/4/2008,64,12.9,CARORA
3549,6/2/2008,29/4/2008,83,12.6,CARORA
3549,6/2/2008,13/5/2008,97,12.9,CARORA
3549,6/2/2008,28/5/2008,112,12.3,CARORA
3549,6/2/2008,12/6/2008,127,13.3,CARORA
3549,6/2/2008,28/6/2008,143,14.8,CARORA
3549,6/2/2008,13/7/2008,158,13.5,CARORA
3549,6/2/2008,29/7/2008,174,15,CARORA
3549,6/2/2008,13/8/2008,189,13.9,CARORA
3549,6/2/2008,27/8/2008,203,13.8,CARORA
3549,6/2/2008,12/9/2008,219,14.4,CARORA
3549,6/2/2008,30/9/2008,237,13,CARORA
3549,6/2/2008,14/10/2008,251,13,CARORA
3549,6/2/2008,27/10/2008,264,13.9,CARORA
3549,6/2/2008,11/11/2008,279,12.1,CARORA
3549,6/2/2008,28/11/2008,296,11.5,CARORA
3549,6/2/2008,12/12/2008,310,12.2,CARORA
3549,6/2/2008,30/12/2008,328,10.2,CARORA
3549,6/2/2008,13/1/2009,342,6.1,CARORA
3549,6/2/2008,27/1/2009,356,5.7,CARORA
3549,6/2/2008,11/2/2009,371,6,CARORA
3550,16/2/2008,17/2/2008,1,5,MESTIZA
3550,16/2/2008,18/3/2008,31,12,MESTIZA
3550,16/2/2008,2/4/2008,46,16,MESTIZA
3550,16/2/2008,15/4/2008,59,13.8,MESTIZA
3550,16/2/2008,4/5/2008,78,16.1,MESTIZA
3550,16/2/2008,18/5/2008,92,15.3,MESTIZA
