id_2,parto,pesaje,del,lvd,raza,lactancia
C076,27/7/1999,10/7/1999,72,24.4,,4
C076,27/7/1999,11/9/1999,105,17.8,,4
C076,27/7/1999,12/9/1999,135,20.0,,4
C076,27/7/1999,3/10/2000,227,9.0,,4
C076,26/8/2000,27/12/1999,32,10.8,,5
C076,26/8/2000,31/12/1999,66,6.0,,5
C076,9/3/2001,20/1/2001,17,10.8,,6
C076,9/3/2001,18/1/2001,45,11.0,,6
C076,9/3/2001,27/1/2001,85,13.2,,6
C076,9/3/2001,15/1/2001,103,15.8,,6
C076,9/3/2001,18/2/2002,137,16.0,,6
C076,9/3/2001,15/2/2002,165,15.4,,6
C076,9/3/2001,21/2/2002,199,7.2,,6
C076,9/3/2001,18/2/2002,227,9.8,,6
C076,29/10/2002,11/12/2002,14,17.0,,7
C076,29/10/2002,25/3/2003,119,8.6,,7
C076,29/10/2002,28/3/2003,150,6.4,,7
C076,11/2/2003,25/3/2003,23,11.6,,8
C076,11/2/2003,16/3/2003,44,8.8,,8
C076,11/2/2003,1/9/2004,68,8.4,,8
C076,11/2/2003,29/4/2004,88,9.8,,8
C076,11/2/2003,27/4/2004,117,8.8,,8
C076,11/2/2003,1/5/2004,150,6.2,,8
C076,11/2/2003,18/4/2004,198,9.6,,8
C076,11/2/2003,6/11/2004,222,6.2,,8
C076,11/2/2003,7/8/2004,249,6.0,,8
C076,14/11/2004,30/4/2004,16,5.6,,9
C076,14/11/2004,1/5/2004,47,5.8,,9
C076,14/11/2004,31/5/2005,78,8.2,,9
C076,14/11/2004,15/5/2005,93,10.2,,9
C076,14/11/2004,31/5/2005,137,5.0,,9
C076,14/11/2004,15/5/2005,152,6.0,,9
C076,11/3/2005,15/5/2005,12,14.0,,10
C076,11/3/2005,12/8/2005,35,19.4,,10
C076,11/3/2005,1/4/2006,62,17.8,,10
C076,11/3/2005,1/7/2006,89,21.2,,10
C076,11/3/2005,27/6/2006,116,18.8,,10
C076,11/3/2005,25/6/2006,142,12.0,,10
C076,11/3/2005,6/7/2006,216,12.0,,10
C076,11/3/2005,28/6/2006,267,10.0,,10
C076,11/3/2005,17/6/2006,287,7.2,,10
C076,23/11/2006,14/6/2006,21,8.4,,11
C076,23/11/2006,1/4/2007,42,11.0,,11
C076,23/11/2006,23/7/2007,61,13.4,,11
C076,23/11/2006,13/7/2007,82,12.4,,11
C076,23/11/2006,3/9/2007,106,8.2,,11
C076,23/11/2006,19/7/2007,147,12.0,,11
C076,23/11/2006,5/10/2007,168,11.2,,11
C076,23/11/2006,21/7/2007,210,9.2,,11
C076,23/11/2006,8/2/2007,252,8.2,,11
C076,23/11/2006,25/7/2007,275,6.0,,11
C076,23/11/2006,27/7/2007,308,6.4,,11
C076,23/11/2006,16/7/2007,327,6.8,,11
C076,23/11/2006,11/9/2007,351,6.6,,11
C076,23/11/2006,12/8/2007,380,5.6,,11
C259,10/2/1999,3/10/2000,160,18.4,,5
C259,10/2/1999,30/12/1999,211,15.2,,5
C259,10/2/1999,31/12/1999,242,16.2,,5
C259,10/2/1999,21/12/1999,263,19.8,,5
C259,10/2/1999,31/12/1999,303,16.6,,5
C259,10/5/2000,31/12/1999,26,15.8,,6
C259,10/5/2000,29/12/1999,55,10.4,,6
C259,10/5/2000,12/10/2000,66,16.8,,6
C259,10/5/2000,1/8/2001,95,15.4,,6
C259,10/5/2000,2/1/2001,119,16.6,,6
C259,10/5/2000,25/1/2001,202,16.6,,6
C259,10/5/2000,31/1/2001,238,14.8,,6
C259,10/5/2000,29/1/2001,267,11.8,,6
C259,10/7/2001,18/1/2001,11,17.6,,7
C259,10/7/2001,27/1/2001,51,20.2,,7
C259,10/7/2001,15/1/2001,69,20.0,,7
C259,10/7/2001,18/2/2002,103,21.4,,7
C259,10/7/2001,15/2/2002,131,20.0,,7
C259,10/7/2001,21/2/2002,165,12.6,,7
C259,10/7/2001,18/2/2002,193,13.8,,7
C259,10/7/2001,3/3/2002,236,14.0,,7
C259,10/7/2001,27/2/2002,263,9.0,,7
C259,10/7/2001,25/2/2002,291,6.0,,7
C259,10/7/2001,27/2/2002,324,6.8,,7
C259,16/11/2002,25/3/2003,101,9.0,,8
C259,16/11/2002,28/3/2003,132,8.2,,8
C259,16/11/2002,30/3/2003,165,13.0,,8
C259,16/11/2002,29/3/2003,194,7.4,,8
C259,16/11/2002,30/3/2003,226,7.0,,8
C259,16/11/2002,24/3/2003,250,6.0,,8
C259,11/10/2003,25/3/2003,15,10.2,,9
C259,11/10/2003,16/3/2003,36,10.4,,9
C259,11/10/2003,1/9/2004,60,10.6,,9
C259,11/10/2003,29/4/2004,80,11.4,,9
C259,11/10/2003,27/4/2004,109,10.0,,9
C259,11/10/2003,1/5/2004,142,11.4,,9
C259,11/10/2003,18/4/2004,190,10.6,,9
C259,11/10/2003,6/11/2004,214,9.6,,9
C259,11/10/2003,7/8/2004,241,7.4,,9
C259,11/10/2003,8/3/2004,267,7.0,,9
C259,11/10/2003,22/4/2004,317,6.0,,9
C259,22/1/2005,31/5/2005,9,13.8,,10
C259,22/1/2005,15/5/2005,24,14.4,,10
C259,22/1/2005,31/5/2005,68,16.8,,10
C259,22/1/2005,15/5/2005,83,16.2,,10
C259,22/1/2005,31/5/2005,129,14.4,,10
C259,22/1/2005,15/5/2005,144,11.2,,10
C259,22/1/2005,26/5/2005,185,12.4,,10
C259,22/1/2005,15/5/2005,205,11.6,,10
C259,22/1/2005,15/5/2005,236,13.8,,10
C259,22/1/2005,30/5/2005,251,13.0,,10
C259,22/1/2005,15/5/2005,266,10.0,,10
C259,22/1/2005,31/5/2005,282,11.4,,10
C259,22/1/2005,15/5/2005,297,7.6,,10
C259,22/1/2005,12/8/2005,320,8.6,,10
C259,22/1/2005,1/4/2006,347,6.4,,10
C259,23/3/2006,25/6/2006,2,16.0,,11
C259,23/3/2006,19/6/2006,27,11.4,,11
C259,23/3/2006,6/7/2006,76,20.4,,11
C259,23/3/2006,28/6/2006,127,18.6,,11
C259,23/3/2006,17/6/2006,147,19.0,,11
C259,23/3/2006,9/12/2006,173,15.2,,11
C259,23/3/2006,10/7/2006,198,18.2,,11
C259,23/3/2006,1/7/2006,222,13.4,,11
C259,23/3/2006,28/6/2006,250,13.2,,11
C259,23/3/2006,14/6/2006,266,13.2,,11
C259,23/3/2006,1/4/2007,287,13.6,,11
C259,23/3/2006,23/7/2007,306,13.4,,11
C259,23/3/2006,13/7/2007,327,12.6,,11
C259,23/3/2006,3/9/2007,351,10.6,,11
C259,23/3/2006,19/7/2007,392,11.4,,11
C259,23/3/2006,5/10/2007,413,10.8,,11
C259,23/3/2006,21/7/2007,455,7.4,,11
C259,23/3/2006,7/6/2007,470,6.8,,11
C259,10/7/2007,16/7/2007,9,8.6,,12
C259,10/7/2007,11/9/2007,33,10.2,,12
C259,10/7/2007,12/8/2007,62,11.2,,12
C259,10/7/2007,15/8/2008,100,11.2,,12
C259,10/7/2007,29/8/2008,145,8.6,,12
C259,10/7/2007,20/8/2008,165,9.0,,12
C259,10/7/2007,4/9/2008,185,9.8,,12
C259,10/7/2007,5/8/2008,214,7.8,,12
C259,10/7/2007,30/8/2008,236,9.0,,12
D299,3/12/1999,10/7/1999,209,15.0,,2
D299,3/12/1999,11/9/1999,242,12.6,,2
D299,3/12/1999,12/9/1999,272,10.2,,2
D299,27/2/2000,3/10/2000,12,16.2,,3
D299,27/2/2000,30/12/1999,63,17.6,,3
D299,27/2/2000,31/12/1999,94,13.2,,3
D299,27/2/2000,21/12/1999,115,14.8,,3
D299,27/2/2000,31/12/1999,155,6.4,,3
D299,7/10/2001,22/1/2001,43,9.8,,4
D299,7/10/2001,20/1/2001,72,13.0,,4
D299,7/10/2001,18/1/2001,100,8.2,,4
D299,7/10/2001,27/1/2001,140,9.6,,4
D299,7/10/2001,15/1/2001,158,17.4,,4
D299,7/10/2001,18/2/2002,192,12.6,,4
D299,7/10/2001,15/2/2002,220,11.8,,4
D299,7/10/2001,21/2/2002,254,10.6,,4
D299,7/10/2001,18/2/2002,282,11.4,,4
